Iteracion,Tiempo_Metodo1,Tiempo_Metodo2,Tiempo_Metodo3
0, 0.015625, 0.015625, 0.000000
1, 0.015625, 0.015625, 0.000000
2, 0.015625, 0.000000, 0.015625
3, 0.000000, 0.015625, 0.000000
4, 0.015625, 0.000000, 0.015625
5, 0.000000, 0.015625, 0.000000
6, 0.000000, 0.015625, 0.000000
7, 0.015625, 0.000000, 0.015625
8, 0.000000, 0.015625, 0.000000
9, 0.000000, 0.015625, 0.000000
10, 0.015625, 0.000000, 0.015625
11, 0.000000, 0.015625, 0.000000
12, 0.015625, 0.000000, 0.015625
13, 0.000000, 0.015625, 0.000000
14, 0.015625, 0.000000, 0.000000
15, 0.000000, 0.000000, 0.015625
16, 0.015625, 0.000000, 0.015625
17, 0.000000, 0.015625, 0.000000
18, 0.000000, 0.015625, 0.000000
19, 0.015625, 0.000000, 0.015625
20, 0.000000, 0.015625, 0.000000
21, 0.015625, 0.000000, 0.015625
22, 0.000000, 0.015625, 0.000000
23, 0.000000, 0.015625, 0.000000
24, 0.015625, 0.000000, 0.015625
25, 0.000000, 0.015625, 0.000000
26, 0.015625, 0.000000, 0.000000
27, 0.015625, 0.000000, 0.015625
28, 0.000000, 0.015625, 0.000000
29, 0.015625, 0.000000, 0.000000
30, 0.000000, 0.015625, 0.000000
31, 0.000000, 0.015625, 0.015625
32, 0.000000, 0.000000, 0.015625
33, 0.000000, 0.015625, 0.000000
34, 0.015625, 0.000000, 0.015625
35, 0.000000, 0.000000, 0.015625
36, 0.000000, 0.015625, 0.000000
37, 0.015625, 0.000000, 0.015625
38, 0.000000, 0.000000, 0.000000
39, 0.000000, 0.015625, 0.000000
40, 0.015625, 0.000000, 0.015625
41, 0.000000, 0.015625, 0.000000
42, 0.000000, 0.015625, 0.000000
43, 0.015625, 0.000000, 0.015625
44, 0.000000, 0.015625, 0.000000
45, 0.015625, 0.000000, 0.015625
46, 0.000000, 0.000000, 0.015625
47, 0.000000, 0.000000, 0.000000
48, 0.015625, 0.000000, 0.015625
49, 0.000000, 0.015625, 0.000000
50, 0.015625, 0.000000, 0.000000
51, 0.015625, 0.000000, 0.015625
52, 0.000000, 0.015625, 0.000000
53, 0.015625, 0.000000, 0.000000
54, 0.000000, 0.015625, 0.000000
55, 0.000000, 0.015625, 0.000000
56, 0.000000, 0.000000, 0.015625
57, 0.000000, 0.015625, 0.000000
58, 0.015625, 0.000000, 0.000000
59, 0.015625, 0.000000, 0.015625
60, 0.000000, 0.015625, 0.000000
61, 0.015625, 0.000000, 0.000000
62, 0.015625, 0.000000, 0.015625
63, 0.000000, 0.015625, 0.000000
64, 0.015625, 0.000000, 0.015625
65, 0.000000, 0.015625, 0.000000
66, 0.000000, 0.015625, 0.000000
67, 0.015625, 0.000000, 0.015625
68, 0.000000, 0.015625, 0.000000
69, 0.000000, 0.015625, 0.000000
70, 0.015625, 0.015625, 0.000000
71, 0.015625, 0.000000, 0.000000
72, 0.015625, 0.000000, 0.015625
73, 0.000000, 0.015625, 0.000000
74, 0.015625, 0.000000, 0.015625
75, 0.000000, 0.000000, 0.015625
76, 0.000000, 0.015625, 0.000000
77, 0.015625, 0.000000, 0.015625
78, 0.000000, 0.015625, 0.000000
79, 0.000000, 0.015625, 0.000000
80, 0.015625, 0.000000, 0.015625
81, 0.000000, 0.015625, 0.000000
82, 0.015625, 0.000000, 0.015625
83, 0.000000, 0.015625, 0.000000
84, 0.000000, 0.015625, 0.000000
85, 0.015625, 0.000000, 0.015625
86, 0.000000, 0.015625, 0.000000
87, 0.000000, 0.015625, 0.000000
88, 0.015625, 0.000000, 0.015625
89, 0.000000, 0.015625, 0.000000
90, 0.015625, 0.000000, 0.000000
91, 0.015625, 0.000000, 0.015625
92, 0.000000, 0.015625, 0.000000
93, 0.000000, 0.015625, 0.000000
94, 0.015625, 0.000000, 0.015625
95, 0.000000, 0.015625, 0.000000
96, 0.015625, 0.000000, 0.000000
97, 0.015625, 0.000000, 0.015625
98, 0.000000, 0.015625, 0.000000
99, 0.015625, 0.000000, 0.015625
